CartonSize;intSteps;intCountingSplits;intCountingSplitsQty;intCountTargetUnits;avgFilldegree;timeToEmpty;timePerSplit;timeCounting;timeNewTote;timeNewCompartment;timeTotal
10;21;0;0;3;76;42;0;0;24;24;12
11;21;0;0;3;84;42;0;0;24;24;12
12;21;0;0;3;92;42;0;0;24;24;12
13;21;0;0;6;52;42;0;0;48;45;19
14;21;0;0;6;56;42;0;0;48;45;19
15;21;0;0;6;60;42;0;0;48;45;19
16;21;0;0;6;64;42;0;0;48;45;19
17;21;0;0;6;68;42;0;0;48;45;19
18;21;0;0;6;72;42;0;0;48;45;19
19;21;0;0;6;76;42;0;0;48;45;19
20;21;0;0;6;80;42;0;0;48;45;19
21;21;0;0;6;84;42;0;0;48;45;19
22;21;0;0;6;88;42;0;0;48;45;19
23;21;0;0;6;92;42;0;0;48;45;19
24;21;0;0;6;96;42;0;0;48;45;19
25;21;0;0;6;100;42;0;0;48;45;19
26;21;0;0;11;52;42;0;0;88;30;22
27;21;0;0;11;54;42;0;0;88;30;22
28;21;0;0;11;56;42;0;0;88;30;22
29;21;0;0;11;58;42;0;0;88;30;22
30;21;0;0;11;60;42;0;0;88;30;22
31;21;0;0;11;62;42;0;0;88;30;22
32;21;0;0;11;64;42;0;0;88;30;22
33;21;0;0;11;66;42;0;0;88;30;22
34;21;0;0;11;68;42;0;0;88;30;22
35;21;0;0;11;70;42;0;0;88;30;22
36;21;0;0;11;72;42;0;0;88;30;22
37;21;0;0;11;74;42;0;0;88;30;22
38;21;0;0;11;76;42;0;0;88;30;22
39;21;0;0;11;78;42;0;0;88;30;22
40;21;0;0;11;80;42;0;0;88;30;22
41;21;0;0;11;82;42;0;0;88;30;22
42;21;0;0;11;84;42;0;0;88;30;22
43;21;0;0;11;86;42;0;0;88;30;22
44;21;0;0;11;88;42;0;0;88;30;22
45;21;0;0;11;90;42;0;0;88;30;22
46;21;0;0;11;92;42;0;0;88;30;22
47;21;0;0;11;94;42;0;0;88;30;22
48;21;0;0;11;96;42;0;0;88;30;22
49;21;0;0;11;98;42;0;0;88;30;22
50;21;0;0;11;100;42;0;0;88;30;22
51;21;0;0;21;51;42;0;0;168;0;30
52;21;0;0;21;52;42;0;0;168;0;30
53;21;0;0;21;53;42;0;0;168;0;30
54;21;0;0;21;54;42;0;0;168;0;30
55;21;0;0;21;55;42;0;0;168;0;30
56;21;0;0;21;56;42;0;0;168;0;30
57;21;0;0;21;57;42;0;0;168;0;30
58;21;0;0;21;58;42;0;0;168;0;30
59;21;0;0;21;59;42;0;0;168;0;30
60;21;0;0;21;60;42;0;0;168;0;30
61;21;0;0;21;61;42;0;0;168;0;30
62;21;0;0;21;62;42;0;0;168;0;30
63;21;0;0;21;63;42;0;0;168;0;30
64;21;0;0;21;64;42;0;0;168;0;30
65;21;0;0;21;65;42;0;0;168;0;30
66;21;0;0;21;66;42;0;0;168;0;30
67;21;0;0;21;67;42;0;0;168;0;30
68;21;0;0;21;68;42;0;0;168;0;30
69;21;0;0;21;69;42;0;0;168;0;30
70;21;0;0;21;70;42;0;0;168;0;30
71;21;0;0;21;71;42;0;0;168;0;30
72;21;0;0;21;72;42;0;0;168;0;30
73;21;0;0;21;73;42;0;0;168;0;30
74;21;0;0;21;74;42;0;0;168;0;30
75;21;0;0;21;75;42;0;0;168;0;30
76;21;0;0;21;76;42;0;0;168;0;30
77;21;0;0;21;77;42;0;0;168;0;30
78;21;0;0;21;78;42;0;0;168;0;30
79;21;0;0;21;79;42;0;0;168;0;30
80;21;0;0;21;80;42;0;0;168;0;30
81;21;0;0;21;81;42;0;0;168;0;30
82;21;0;0;21;82;42;0;0;168;0;30
83;21;0;0;21;83;42;0;0;168;0;30
84;21;0;0;21;84;42;0;0;168;0;30
85;21;0;0;21;85;42;0;0;168;0;30
86;21;0;0;21;86;42;0;0;168;0;30
87;21;0;0;21;87;42;0;0;168;0;30
88;21;0;0;21;88;42;0;0;168;0;30
89;21;0;0;21;89;42;0;0;168;0;30
90;21;0;0;21;90;42;0;0;168;0;30
91;21;0;0;21;91;42;0;0;168;0;30
92;21;0;0;21;92;42;0;0;168;0;30
93;21;0;0;21;93;42;0;0;168;0;30
94;21;0;0;21;94;42;0;0;168;0;30
95;21;0;0;21;95;42;0;0;168;0;30
96;21;0;0;21;96;42;0;0;168;0;30
97;21;0;0;21;97;42;0;0;168;0;30
98;21;0;0;21;98;42;0;0;168;0;30
99;21;0;0;21;99;42;0;0;168;0;30
100;21;0;0;21;100;42;0;0;168;0;30
